id;title;message;status;sender;receiver
1;innovate California;Generic architectures Concrete;NOT_DELIVERED;card transform quantify;Analyst Auto Usability
2;deposit USB;Nebraska SMTP Car;DELIVERED;users alarm;hack
3;programming Soft Avon;virtual circuit;DELIVERED;THX;Soap
4;alarm blue;Cambridgeshire synthesize end-to-end;DELIVERED;connecting Future-proofed;transmitting Portugal Arizona
5;repurpose groupware Delaware;Forward Hill Distributed;NOT_DELIVERED;Maine well-modulated Avon;Auto synthesize solid
6;SSL bypass;Lilangeni;NOT_DELIVERED;Home;Poland challenge
7;Intuitive coherent Incredible;calculate Supervisor;DELIVERED;programming quantifying Arkansas;COM Rupee
8;HDD lavender Chips;matrix Buckinghamshire;NOT_DELIVERED;transmitting withdrawal calculate;neural systematic 1080p
9;Fresh;integrate;NOT_DELIVERED;synthesizing deliverables Bedfordshire;Uruguay generate Canadian
10;Bacon Health;invoice;DELIVERED;THX Quetzal;redundant methodical cyan
