id;title;message;status;sender;receiver
1;pixel Missouri;Malta;DELIVERED;deposit Fish Concrete;Fresh Multi-channelled
2;Chief compelling Borders;Account;DELIVERED;Granite;niches Inverse
3;Sharable Kids;Avon Investor sensor;NOT_DELIVERED;Planner Rustic Czech;Pizza
4;niches;navigate;NOT_DELIVERED;Bermuda client-driven system;Customer Mariana turquoise
5;static International Personal;Engineer program indexing;DELIVERED;Pizza Borders;auxiliary Strategist
6;IB;Implementation well-modulated;NOT_DELIVERED;tangible;task-force HDD Towels
7;Sleek;AI PNG;DELIVERED;payment Chicken Assistant;success Gloves
8;orange SDR viral;Granite Customer-focused;NOT_DELIVERED;payment Exclusive array;silver
9;Bike;Fundamental;DELIVERED;Pizza wireless;e-markets violet
10;Customer Frozen;Legacy;DELIVERED;Computers;Myanmar copying Outdoors
